time,accel_x,accel_y,vel_x,vel_y,dis_x,dis_y,ang
0.00,0.0000,-9.8100,8.6603,5.0000,0.0000,30.0000,30.0000
0.02,-0.1875,-9.8725,8.6565,4.8026,0.1731,30.0961,29.0210
0.04,-0.1873,-9.8677,8.6528,4.6052,0.3462,30.1882,28.0228
0.06,-0.1872,-9.8630,8.6491,4.4079,0.5192,30.2763,27.0054
0.08,-0.1870,-9.8586,8.6453,4.2108,0.6921,30.3605,25.9687
0.10,-0.1869,-9.8543,8.6416,4.0137,0.8649,30.4408,24.9130
0.12,-0.1867,-9.8503,8.6378,3.8167,1.0377,30.5171,23.8385
0.14,-0.1865,-9.8464,8.6341,3.6197,1.2103,30.5895,22.7453
0.16,-0.1864,-9.8428,8.6304,3.4229,1.3830,30.6580,21.6337
0.18,-0.1862,-9.8393,8.6267,3.2261,1.5555,30.7225,20.5042
0.20,-0.1860,-9.8360,8.6229,3.0294,1.7279,30.7831,19.3572
0.22,-0.1859,-9.8329,8.6192,2.8327,1.9003,30.8398,18.1932
0.24,-0.1857,-9.8301,8.6155,2.6361,2.0726,30.8925,17.0127
0.26,-0.1856,-9.8274,8.6118,2.4396,2.2449,30.9413,15.8165
0.28,-0.1854,-9.8249,8.6081,2.2431,2.4170,30.9861,14.6052
0.30,-0.1852,-9.8226,8.6044,2.0466,2.5891,31.0271,13.3797
0.32,-0.1851,-9.8205,8.6007,1.8502,2.7611,31.0641,12.1407
0.34,-0.1849,-9.8186,8.5970,1.6538,2.9331,31.0971,10.8892
0.36,-0.1848,-9.8168,8.5933,1.4575,3.1049,31.1263,9.6263
0.38,-0.1846,-9.8153,8.5896,1.2612,3.2767,31.1515,8.3530
0.40,-0.1845,-9.8140,8.5859,1.0649,3.4485,31.1728,7.0704
0.42,-0.1843,-9.8128,8.5822,0.8687,3.6201,31.1902,5.7796
0.44,-0.1841,-9.8119,8.5785,0.6724,3.7917,31.2036,4.4820
0.46,-0.1840,-9.8111,8.5749,0.4762,3.9632,31.2132,3.1787
0.48,-0.1838,-9.8106,8.5712,0.2800,4.1346,31.2188,1.8710
0.50,-0.1837,-9.8102,8.5675,0.0838,4.3059,31.2204,0.5603
0.52,-0.1835,-9.8100,8.5638,-0.1124,4.4772,31.2182,-0.7520
0.54,-0.1833,-9.8100,8.5602,-0.3086,4.6484,31.2120,-2.0647
0.56,-0.1832,-9.8098,8.5565,-0.5048,4.8196,31.2019,-3.3763
0.58,-0.1830,-9.8094,8.5529,-0.7010,4.9906,31.1879,-4.6855
0.60,-0.1829,-9.8088,8.5492,-0.8972,5.1616,31.1700,-5.9908
0.62,-0.1827,-9.8080,8.5455,-1.0933,5.3325,31.1481,-7.2909
0.64,-0.1826,-9.8070,8.5419,-1.2895,5.5033,31.1223,-8.5844
0.66,-0.1824,-9.8058,8.5382,-1.4856,5.6741,31.0926,-9.8702
0.68,-0.1823,-9.8045,8.5346,-1.6817,5.8448,31.0590,-11.1469
0.70,-0.1821,-9.8029,8.5310,-1.8777,6.0154,31.0214,-12.4133
0.72,-0.1819,-9.8012,8.5273,-2.0738,6.1860,30.9799,-13.6684
0.74,-0.1818,-9.7992,8.5237,-2.2697,6.3564,30.9345,-14.9111
0.76,-0.1816,-9.7971,8.5200,-2.4657,6.5268,30.8852,-16.1403
0.78,-0.1815,-9.7948,8.5164,-2.6616,6.6972,30.8320,-17.3552
0.80,-0.1813,-9.7923,8.5128,-2.8574,6.8674,30.7748,-18.5550
0.82,-0.1812,-9.7896,8.5092,-3.0532,7.0376,30.7138,-19.7387
0.84,-0.1810,-9.7867,8.5055,-3.2490,7.2077,30.6488,-20.9059
0.86,-0.1809,-9.7836,8.5019,-3.4446,7.3778,30.5799,-22.0557
0.88,-0.1807,-9.7803,8.4983,-3.6402,7.5477,30.5071,-23.1877
0.90,-0.1806,-9.7769,8.4947,-3.8358,7.7176,30.4304,-24.3015
0.92,-0.1804,-9.7732,8.4911,-4.0312,7.8874,30.3498,-25.3965
0.94,-0.1802,-9.7694,8.4875,-4.2266,8.0572,30.2652,-26.4725
0.96,-0.1801,-9.7653,8.4839,-4.4219,8.2269,30.1768,-27.5292
0.98,-0.1799,-9.7611,8.4803,-4.6171,8.3965,30.0844,-28.5664
1.00,-0.1798,-9.7567,8.4767,-4.8123,8.5660,29.9882,-29.5839
1.02,-0.1796,-9.7521,8.4731,-5.0073,8.7355,29.8881,-30.5817
1.04,-0.1795,-9.7473,8.4695,-5.2023,8.9049,29.7840,-31.5597
1.06,-0.1793,-9.7423,8.4659,-5.3971,9.0742,29.6761,-32.5179
1.08,-0.1792,-9.7372,8.4623,-5.5919,9.2434,29.5642,-33.4565
1.10,-0.1790,-9.7318,8.4588,-5.7865,9.4126,29.4485,-34.3754
1.12,-0.1789,-9.7263,8.4552,-5.9810,9.5817,29.3289,-35.2748
1.14,-0.1787,-9.7206,8.4516,-6.1754,9.7507,29.2054,-36.1549
1.16,-0.1786,-9.7147,8.4480,-6.3697,9.9197,29.0780,-37.0159
1.18,-0.1784,-9.7086,8.4445,-6.5639,10.0886,28.9467,-37.8580
1.20,-0.1783,-9.7023,8.4409,-6.7579,10.2574,28.8115,-38.6814
1.22,-0.1781,-9.6958,8.4373,-6.9519,10.4261,28.6725,-39.4865
1.24,-0.1780,-9.6892,8.4338,-7.1456,10.5948,28.5296,-40.2734
1.26,-0.1778,-9.6823,8.4302,-7.3393,10.7634,28.3828,-41.0426
1.28,-0.1777,-9.6753,8.4267,-7.5328,10.9320,28.2321,-41.7943
1.30,-0.1775,-9.6681,8.4231,-7.7262,11.1004,28.0776,-42.5288
1.32,-0.1774,-9.6608,8.4196,-7.9194,11.2688,27.9192,-43.2465
1.34,-0.1772,-9.6532,8.4160,-8.1124,11.4371,27.7570,-43.9477
1.36,-0.1771,-9.6455,8.4125,-8.3054,11.6054,27.5909,-44.6328
1.38,-0.1769,-9.6376,8.4089,-8.4981,11.7736,27.4209,-45.3021
1.40,-0.1768,-9.6295,8.4054,-8.6907,11.9417,27.2471,-45.9560
1.42,-0.1766,-9.6212,8.4019,-8.8831,12.1097,27.0694,-46.5948
1.44,-0.1765,-9.6127,8.3984,-9.0754,12.2777,26.8879,-47.2188
1.46,-0.1763,-9.6041,8.3948,-9.2675,12.4456,26.7026,-47.8285
1.48,-0.1762,-9.5953,8.3913,-9.4594,12.6134,26.5134,-48.4241
1.50,-0.1760,-9.5863,8.3878,-9.6511,12.7812,26.3204,-49.0060
1.52,-0.1759,-9.5771,8.3843,-9.8426,12.9488,26.1235,-49.5746
1.54,-0.1757,-9.5678,8.3807,-10.0340,13.1165,25.9228,-50.1301
1.56,-0.1756,-9.5583,8.3772,-10.2251,13.2840,25.7183,-50.6730
1.58,-0.1754,-9.5486,8.3737,-10.4161,13.4515,25.5100,-51.2035
1.60,-0.1753,-9.5388,8.3702,-10.6069,13.6189,25.2979,-51.7220
1.62,-0.1752,-9.5287,8.3667,-10.7975,13.7862,25.0819,-52.2287
1.64,-0.1750,-9.5185,8.3632,-10.9878,13.9535,24.8622,-52.7240
1.66,-0.1749,-9.5082,8.3597,-11.1780,14.1207,24.6386,-53.2082
1.68,-0.1747,-9.4976,8.3562,-11.3680,14.2878,24.4113,-53.6816
1.70,-0.1746,-9.4869,8.3527,-11.5577,14.4549,24.1801,-54.1444
1.72,-0.1744,-9.4760,8.3492,-11.7472,14.6218,23.9452,-54.5970
1.74,-0.1743,-9.4650,8.3458,-11.9365,14.7888,23.7064,-55.0396
1.76,-0.1741,-9.4538,8.3423,-12.1256,14.9556,23.4639,-55.4724
1.78,-0.1740,-9.4424,8.3388,-12.3144,15.1224,23.2176,-55.8959
1.80,-0.1738,-9.4309,8.3353,-12.5031,15.2891,22.9676,-56.3101
1.82,-0.1737,-9.4192,8.3318,-12.6914,15.4557,22.7137,-56.7154
1.84,-0.1735,-9.4073,8.3284,-12.8796,15.6223,22.4561,-57.1119
1.86,-0.1734,-9.3953,8.3249,-13.0675,15.7888,22.1948,-57.5000
1.88,-0.1733,-9.3831,8.3214,-13.2552,15.9552,21.9297,-57.8798
1.90,-0.1731,-9.3708,8.3180,-13.4426,16.1216,21.6608,-58.2516
1.92,-0.1730,-9.3582,8.3145,-13.6297,16.2879,21.3882,-58.6156
1.94,-0.1728,-9.3456,8.3111,-13.8166,16.4541,21.1119,-58.9720
1.96,-0.1727,-9.3328,8.3076,-14.0033,16.6202,20.8318,-59.3210
1.98,-0.1725,-9.3198,8.3042,-14.1897,16.7863,20.5481,-59.6628
2.00,-0.1724,-9.3066,8.3007,-14.3758,16.9523,20.2605,-59.9975
2.02,-0.1723,-9.2933,8.2973,-14.5617,17.1183,19.9693,-60.3255
2.04,-0.1721,-9.2799,8.2938,-14.7473,17.2842,19.6744,-60.6468
2.06,-0.1720,-9.2663,8.2904,-14.9326,17.4500,19.3757,-60.9616
2.08,-0.1718,-9.2525,8.2870,-15.1177,17.6157,19.0733,-61.2701
2.10,-0.1717,-9.2386,8.2835,-15.3024,17.7814,18.7673,-61.5724
2.12,-0.1715,-9.2246,8.2801,-15.4869,17.9470,18.4576,-61.8688
2.14,-0.1714,-9.2104,8.2767,-15.6711,18.1125,18.1441,-62.1594
2.16,-0.1713,-9.1960,8.2732,-15.8551,18.2780,17.8270,-62.4443
2.18,-0.1711,-9.1815,8.2698,-16.0387,18.4434,17.5063,-62.7236
2.20,-0.1710,-9.1669,8.2664,-16.2220,18.6087,17.1818,-62.9976
2.22,-0.1708,-9.1521,8.2630,-16.4051,18.7740,16.8537,-63.2663
2.24,-0.1707,-9.1372,8.2596,-16.5878,18.9391,16.5220,-63.5299
2.26,-0.1706,-9.1221,8.2561,-16.7703,19.1043,16.1866,-63.7886
2.28,-0.1704,-9.1069,8.2527,-16.9524,19.2693,15.8475,-64.0423
2.30,-0.1703,-9.0915,8.2493,-17.1342,19.4343,15.5048,-64.2913
2.32,-0.1701,-9.0760,8.2459,-17.3158,19.5992,15.1585,-64.5357
2.34,-0.1700,-9.0604,8.2425,-17.4970,19.7641,14.8086,-64.7756
2.36,-0.1698,-9.0446,8.2391,-17.6779,19.9289,14.4550,-65.0111
2.38,-0.1697,-9.0287,8.2357,-17.8584,20.0936,14.0978,-65.2423
2.40,-0.1696,-9.0127,8.2324,-18.0387,20.2582,13.7371,-65.4694
2.42,-0.1694,-8.9965,8.2290,-18.2186,20.4228,13.3727,-65.6923
2.44,-0.1693,-8.9802,8.2256,-18.3982,20.5873,13.0047,-65.9113
2.46,-0.1692,-8.9638,8.2222,-18.5775,20.7518,12.6332,-66.1263
2.48,-0.1690,-8.9472,8.2188,-18.7564,20.9161,12.2581,-66.3376
2.50,-0.1689,-8.9305,8.2154,-18.9350,21.0804,11.8794,-66.5452
