time,accel_x,accel_y,vel_x,vel_y,dis_x,dis_y,ang
0.00,0.0000,-9.8100,4.3301,2.5000,0.0000,2.0000,30.0000
0.02,-0.0469,-9.8256,4.3292,2.3035,0.0866,2.0461,28.0168
0.04,-0.0469,-9.8233,4.3282,2.1070,0.1731,2.0882,25.9573
0.06,-0.0468,-9.8211,4.3273,1.9106,0.2597,2.1264,23.8226
0.08,-0.0468,-9.8191,4.3264,1.7142,0.3462,2.1607,21.6148
0.10,-0.0468,-9.8173,4.3254,1.5179,0.4327,2.1911,19.3369
0.12,-0.0468,-9.8158,4.3245,1.3216,0.5192,2.2175,16.9931
0.14,-0.0468,-9.8144,4.3235,1.1253,0.6057,2.2400,14.5884
0.16,-0.0467,-9.8132,4.3226,0.9290,0.6921,2.2586,12.1294
0.18,-0.0467,-9.8122,4.3217,0.7328,0.7786,2.2732,9.6233
0.20,-0.0467,-9.8113,4.3207,0.5365,0.8650,2.2840,7.0786
0.22,-0.0467,-9.8107,4.3198,0.3403,0.9514,2.2908,4.5045
0.24,-0.0467,-9.8103,4.3189,0.1441,1.0378,2.2937,1.9112
0.26,-0.0466,-9.8101,4.3179,-0.0521,1.1241,2.2926,-0.6911
0.28,-0.0466,-9.8100,4.3170,-0.2483,1.2105,2.2876,-3.2917
0.30,-0.0466,-9.8098,4.3161,-0.4445,1.2968,2.2788,-5.8798
0.32,-0.0466,-9.8095,4.3151,-0.6407,1.3831,2.2659,-8.4451
0.34,-0.0466,-9.8090,4.3142,-0.8369,1.4694,2.2492,-10.9777
0.36,-0.0465,-9.8082,4.3133,-1.0330,1.5556,2.2285,-13.4685
0.38,-0.0465,-9.8073,4.3124,-1.2292,1.6419,2.2040,-15.9093
0.40,-0.0465,-9.8062,4.3114,-1.4253,1.7281,2.1755,-18.2931
0.42,-0.0465,-9.8049,4.3105,-1.6214,1.8143,2.1430,-20.6137
0.44,-0.0465,-9.8034,4.3096,-1.8175,1.9005,2.1067,-22.8664
0.46,-0.0464,-9.8017,4.3086,-2.0135,1.9867,2.0664,-25.0474
