time,accel_x,accel_y,vel_x,vel_y,dis_x,dis_y,ang
0.00,0.0000,-9.8100,8.6603,-5.0000,0.0000,30.0000,-30.0000
0.02,-0.1875,-9.7475,8.6565,-5.1950,0.1731,29.8961,-30.9687
0.04,-0.1873,-9.7425,8.6528,-5.3898,0.3462,29.7883,-31.9186
0.06,-0.1872,-9.7374,8.6491,-5.5845,0.5192,29.6766,-32.8496
0.08,-0.1870,-9.7320,8.6453,-5.7792,0.6921,29.5610,-33.7618
0.10,-0.1869,-9.7265,8.6416,-5.9737,0.8649,29.4416,-34.6552
0.12,-0.1867,-9.7208,8.6378,-6.1681,1.0377,29.3182,-35.5300
0.14,-0.1865,-9.7149,8.6341,-6.3624,1.2103,29.1909,-36.3863
0.16,-0.1864,-9.7088,8.6304,-6.5566,1.3830,29.0598,-37.2244
0.18,-0.1862,-9.7025,8.6267,-6.7507,1.5555,28.9248,-38.0444
0.20,-0.1860,-9.6961,8.6229,-6.9446,1.7279,28.7859,-38.8466
0.22,-0.1859,-9.6894,8.6192,-7.1384,1.9003,28.6431,-39.6313
0.24,-0.1857,-9.6826,8.6155,-7.3320,2.0726,28.4965,-40.3986
0.26,-0.1856,-9.6756,8.6118,-7.5255,2.2449,28.3460,-41.1490
0.28,-0.1854,-9.6684,8.6081,-7.7189,2.4170,28.1916,-41.8827
0.30,-0.1852,-9.6610,8.6044,-7.9121,2.5891,28.0334,-42.5999
0.32,-0.1851,-9.6535,8.6007,-8.1052,2.7611,27.8713,-43.3011
0.34,-0.1849,-9.6458,8.5970,-8.2981,2.9331,27.7053,-43.9865
0.36,-0.1848,-9.6379,8.5933,-8.4909,3.1049,27.5355,-44.6565
0.38,-0.1846,-9.6298,8.5896,-8.6835,3.2767,27.3618,-45.3113
0.40,-0.1845,-9.6215,8.5859,-8.8759,3.4485,27.1843,-45.9514
0.42,-0.1843,-9.6130,8.5822,-9.0682,3.6201,27.0029,-46.5770
0.44,-0.1841,-9.6044,8.5785,-9.2602,3.7917,26.8177,-47.1885
0.46,-0.1840,-9.5956,8.5749,-9.4522,3.9632,26.6287,-47.7861
0.48,-0.1838,-9.5866,8.5712,-9.6439,4.1346,26.4358,-48.3703
0.50,-0.1837,-9.5775,8.5675,-9.8354,4.3059,26.2391,-48.9413
0.52,-0.1835,-9.5682,8.5638,-10.0268,4.4772,26.0386,-49.4995
0.54,-0.1833,-9.5587,8.5602,-10.2180,4.6484,25.8342,-50.0452
0.56,-0.1832,-9.5490,8.5565,-10.4090,4.8196,25.6260,-50.5786
0.58,-0.1830,-9.5391,8.5529,-10.5997,4.9906,25.4140,-51.1002
0.60,-0.1829,-9.5291,8.5492,-10.7903,5.1616,25.1982,-51.6101
0.62,-0.1827,-9.5189,8.5455,-10.9807,5.3325,24.9786,-52.1088
0.64,-0.1826,-9.5086,8.5419,-11.1709,5.5033,24.7552,-52.5964
0.66,-0.1824,-9.4980,8.5382,-11.3608,5.6741,24.5280,-53.0733
0.68,-0.1823,-9.4873,8.5346,-11.5506,5.8448,24.2970,-53.5397
0.70,-0.1821,-9.4765,8.5310,-11.7401,6.0154,24.0622,-53.9959
0.72,-0.1819,-9.4654,8.5273,-11.9294,6.1860,23.8236,-54.4423
